adhesivity,particle_size,time_throughput_100,avg_retained_particles_throughput_100
0.3,0.03,120.3802720865776,0.5339687378352925
0.35,0.03,123.40567299400092,0.48370265440043725
0.4,0.03,126.34872801760277,0.43817693442539535
0.45,0.03,129.22301912913335,0.39694736804106606
0.5,0.03,132.04702583639434,0.3596048581686856
0.55,0.03,134.84056324548388,0.3257884815333804
0.6,0.03,137.62755383576763,0.29516454637353845
0.65,0.03,140.43784228825277,0.267431865332376
0.7,0.03,143.30306223768272,0.24231824709791658
0.75,0.03,146.2593245713499,0.21957646561573918
0.8,0.03,149.35325089953523,0.19898230655315052
0.85,0.03,152.64316960517567,0.18033304971588618
0.9,0.03,156.19688181152375,0.1634449607828452
0.95,0.03,160.12372869871655,0.14815214968731327
1.0,0.03,164.5493881797441,0.13430402544799777
0.3,0.04,129.2835701519472,0.5350291798894725
0.35,0.04,134.0885122685114,0.484792160582508
0.4,0.04,138.92638661325452,0.4392732997483364
0.45,0.04,143.84055166935403,0.3980351818438042
0.5,0.04,148.89848070655287,0.3606796558148133
0.55,0.04,154.18183057317125,0.32684461802600284
0.6,0.04,159.80580805496717,0.29620107593400213
0.65,0.04,165.92859470599944,0.2684504090941925
0.7,0.04,172.7861860533086,0.2433224713757092
0.75,0.04,180.74288186520616,0.2205727644727969
0.8,0.04,190.41012113504462,0.1999810639326305
0.85,0.04,202.9474937335996,0.18135065284085755
0.9,0.04,221.12495341384476,0.1645121515881521
0.3,0.05,139.71317569644754,0.5361059308447492
0.35,0.05,147.00538953725723,0.4858978470689763
0.4,0.05,154.67516079813626,0.44039363731548925
0.45,0.05,162.9132385268621,0.3991620828738159
0.5,0.05,171.979178887524,0.3618100024603878
0.55,0.05,182.30928514688048,0.32798104443916287
0.6,0.05,194.63859944979535,0.29735266473442584
0.65,0.05,210.39459488008504,0.2696365322726499
0.7,0.05,232.89677200586192,0.2445822126251732
0.3,0.06,152.12737691254063,0.5371968844057664
0.35,0.06,162.99942212798948,0.48702645442076115
0.4,0.06,175.16498396218574,0.44155077196115133
0.45,0.06,189.30368132818765,0.40034734407518896
0.5,0.06,206.72536478044054,0.36303567380928786
0.55,0.06,230.24327060383436,0.32927777092088667
0.3,0.07,167.18530416622644,0.5383020616143469
0.35,0.07,183.48283457627574,0.48818365506683875
0.4,0.07,203.36818630383775,0.44276204724281
0.45,0.07,229.78223804064004,0.4016363742804471
0.5,0.07,270.92683097510445,0.3644732775789975
0.3,0.08,185.920155012693,0.5394271334409939
0.35,0.08,210.98958667849678,0.48938452871794524
0.4,0.08,246.11680183837638,0.4440686844721487
0.3,0.09,210.06044411136457,0.5405810185401306
0.35,0.09,250.8528129867108,0.49065738564290956
0.3,0.1,242.77848429006087,0.5417788005154083
