adhesivity,particle_size,volume_time_400_scaled,efficiency_time_400
0.1,0.01,0.9170321641968878,0.18874509498820655
0.2,0.01,0.8584327990029899,0.3359595622258922
0.3,0.01,0.8151190619379817,0.4562572461379629
0.4,0.01,0.7817430463784754,0.5546076790821602
0.5,0.01,0.7550114909282998,0.6350503835914213
0.6,0.01,0.7327849991242033,0.7008724230405263
0.7,0.01,0.7136005964311287,0.754751216732565
0.8,0.01,0.6964293536226862,0.7988690418846632
0.9,0.01,0.680529948202098,0.835006028172328
1.0,0.01,0.6653280651508757,0.8646151168673579
0.1,0.02,0.8467339341669604,0.18937481687757338
0.2,0.02,0.7515359017085491,0.3369035351264104
0.3,0.02,0.6863852671222119,0.45733119423828683
0.4,0.02,0.6381505675898275,0.5557086323165746
0.5,0.02,0.5998268500230551,0.6361247509513999
0.6,0.02,0.5673823623335611,0.7018951470017989
0.7,0.02,0.5382990767537157,0.7557133855143053
0.8,0.02,0.5109576120286241,0.7997705327598604
0.9,0.02,0.484286682946933,0.8358511219828629
1.0,0.02,0.4576705443779381,0.8654095298144691
0.1,0.03,0.7864284471370384,0.19000473846661342
0.2,0.03,0.6679850492004463,0.33785170145097937
0.3,0.03,0.5916057866584683,0.4584206106231459
0.4,0.03,0.5365135704476314,0.5568440936775964
0.5,0.03,0.49279621092770404,0.6372600190294335
0.6,0.03,0.45522482264180814,0.7030114541403611
0.7,0.03,0.42093018754751005,0.7568054881582943
0.8,0.03,0.38414876376404583,0.800887937912688
0.9,0.03,0.3443324472448772,0.837042269335983
1.0,0.03,0.31204033525790836,0.8665974169903038
0.1,0.04,0.7340990803334758,0.19063520777847773
0.2,0.04,0.6008475269028658,0.3388046829933161
0.3,0.04,0.5189428748480802,0.45952530140493086
0.4,0.04,0.4608464551009617,0.558014656327906
0.5,0.04,0.4147007695775909,0.6384581573785197
0.6,0.04,0.3747388748360376,0.7042243466575466
0.7,0.04,0.3255458122050198,0.758273060748716
0.8,0.04,0.2878454798690916,0.8023942943618166
0.9,0.04,0.25802473936685894,0.8384209706885963
1.0,0.04,0.23376331200699402,0.8678474881340211
0.1,0.05,0.6882202594267328,0.1912668461069682
0.2,0.05,0.5457480539440026,0.3397619677693701
0.3,0.05,0.461449176868783,0.4606459171165664
0.4,0.05,0.40236003615838717,0.5592211036461764
0.5,0.05,0.3531995706585178,0.6397746310693402
0.6,0.05,0.2996265505691291,0.70594407218918
0.7,0.05,0.2602603900175291,0.7598976377962828
0.8,0.05,0.23012269214457773,0.8039015046951365
0.9,0.05,0.2062246021408318,0.8398025918387084
1.0,0.05,0.18681091200010141,0.8690999560718257
0.1,0.06,0.6477839989810658,0.19189773096868434
0.2,0.06,0.4997022163462957,0.3407238835975316
0.3,0.06,0.41480904751286407,0.46178319731128864
0.4,0.06,0.3558398616549636,0.5604638893464151
0.5,0.06,0.29419469695762346,0.6415550260704604
0.6,0.06,0.24950103455779643,0.7076677778829498
0.7,0.06,0.21674897912350374,0.7615238694067746
0.8,0.06,0.19160798489793662,0.8054122765247872
0.9,0.06,0.17168598089609802,0.8411870811171378
1.0,0.06,0.15553626342340615,0.8703538072908386
0.1,0.07,0.6117711659696404,0.19252981296542002
0.2,0.07,0.4606402122590763,0.3416906704550045
0.3,0.07,0.3762661769638106,0.4629358024203812
0.4,0.07,0.3076714195612326,0.5621467385302379
0.5,0.07,0.252032168024379,0.6433378947331997
0.6,0.07,0.21376426745352917,0.7093903000834051
0.7,0.07,0.18565133662985264,0.7631532277509142
0.8,0.07,0.16409862458425375,0.8069255153805318
0.9,0.07,0.14703604922730884,0.8425729334014707
1.0,0.07,0.1331530759782803,0.8716128098994396
0.1,0.08,0.5795392238040903,0.1931621527426462
0.2,0.08,0.42711287252768476,0.34266150611904167
0.3,0.08,0.3438691358022688,0.46410448576073793
0.4,0.08,0.2691219167986588,0.563927504642683
0.5,0.08,0.22044745742430943,0.6451202713738297
0.6,0.08,0.18692849279354398,0.7111167762337433
0.7,0.08,0.1623161304501333,0.764785890014974
0.8,0.08,0.1434526166077957,0.8084424563350022
0.9,0.08,0.12850760740484973,0.8439646349532575
1.0,0.08,0.11638982594754904,0.8728728364917973
0.1,0.09,0.5505323062238132,0.19379452316614285
0.2,0.09,0.39797540013200466,0.3436380760876833
0.3,0.09,0.30860284819831635,0.4656556088352911
0.4,0.09,0.2391389659068632,0.5657094724610232
0.5,0.09,0.19585905019078312,0.6469057934963589
0.6,0.09,0.16605836307051597,0.7128451820421337
0.7,0.09,0.14419266028156724,0.7664184940179894
0.8,0.09,0.12739668708186636,0.8099620019161586
0.9,0.09,0.11413768914742661,0.845355088696153
1.0,0.09,0.10334867319268845,0.8741357771700036
0.1,0.1,0.5242120444678878,0.1944288842654891
0.2,0.1,0.37248857239107624,0.34461755838649843
0.3,0.1,0.27768164453186367,0.46733979224722255
0.4,0.1,0.21516527267718782,0.5674916081303951
0.5,0.1,0.17619224177887685,0.6486926390085266
0.6,0.1,0.1493638246045476,0.7145754974438763
0.7,0.1,0.12967032144293406,0.7680560539435007
0.8,0.1,0.11457692026138659,0.8114810466663523
0.9,0.1,0.10262165975318625,0.8467504687983013
1.0,0.1,0.09290354998575864,0.8754030344896051
